split,context,y,memory_hit,c_h,n1,top_prob,mixer_loss,full_memory_loss,delta_loss
test,"(65, 62)",354,1,115.0,19.0,0.17391304671764374,5.715417,2.185132,3.530285
test,"(235, 173)",7,1,73.0,13.0,0.5753424763679504,3.823375,0.663227,3.160148
test,"(66, 65)",62,1,28.0,7.0,0.4285714328289032,3.639692,1.002851,2.636841
test,"(65, 322)",82,1,302.0,33.0,0.18543046712875366,3.870100,2.799433,1.070667
test,"(480, 133)",133,1,95.0,19.0,0.34736841917037964,1.334337,1.005410,0.328927
test,"(78, 345)",276,1,81.0,11.0,0.2469135820865631,12.143400,3.297648,8.845752
test,"(321, 480)",8,1,7.0,2.0,0.8571428656578064,3.606777,0.371573,3.235205
test,"(82, 180)",249,1,821.0,46.0,0.1973203420639038,2.802528,2.912863,-0.110335
test,"(62, 71)",180,1,97.0,17.0,0.2989690601825714,3.654005,3.340482,0.313523
test,"(484, 396)",134,1,131.0,10.0,0.4580152630805969,3.668563,0.878231,2.790332
test,"(77, 62)",65,1,178.0,27.0,0.15730337798595428,2.761422,1.900450,0.860972
test,"(25, 452)",87,1,24.0,5.0,0.4583333432674408,7.213184,1.297223,5.915961
test,"(259, 396)",433,1,7.0,2.0,0.8571428656578064,8.689664,8.287085,0.402579
test,"(82, 33)",464,1,91.0,4.0,0.7692307829856873,3.588664,5.424088,-1.835424
test,"(180, 230)",8,1,289.0,62.0,0.12802767753601074,4.049026,2.103119,1.945907
test,"(70, 233)",65,1,55.0,3.0,0.800000011920929,3.016317,0.336179,2.680137
test,"(92, 133)",133,1,751.0,21.0,0.9094540476799011,1.002358,0.151905,0.850453
test,"(78, 393)",398,1,217.0,17.0,0.6313363909721375,3.603294,0.554506,3.048788
test,"(230, 82)",78,1,59.0,26.0,0.1525423675775528,3.771197,3.125039,0.646159
test,"(318, 385)",367,1,76.0,7.0,0.5263158082962036,5.410398,2.765980,2.644417
test,"(189, 134)",43,1,667.0,50.0,0.2353823035955429,4.877611,5.772610,-0.894999
test,"(92, 302)",29,1,233.0,3.0,0.9871244430541992,1.237464,0.086143,1.151321
test,"(13, 83)",425,1,1034.0,21.0,0.1847195327281952,5.724989,5.150970,0.574019
test,"(227, 62)",256,1,26.0,6.0,0.3076923191547394,5.284988,4.195784,1.089205
test,"(83, 425)",187,1,21.0,6.0,0.7142857313156128,6.039172,0.469293,5.569879
test,"(178, 313)",91,1,10.0,2.0,0.8999999761581421,0.120081,0.125141,-0.005060
test,"(79, 79)",13,1,219.0,48.0,0.12328767031431198,3.876103,2.918842,0.957262
test,"(12, 256)",75,1,519.0,4.0,0.978805422782898,1.096939,0.089578,1.007360
test,"(374, 12)",16,1,339.0,7.0,0.43067845702171326,1.957847,0.934856,1.022991
test,"(83, 302)",29,1,4.0,3.0,0.5,1.429898,1.381479,0.048419
test,"(460, 311)",230,1,4.0,3.0,0.5,2.982753,1.079106,1.903648
test,"(83, 298)",37,1,365.0,7.0,0.7287670969963074,7.169358,5.754334,1.415024
test,"(134, 73)",84,1,548.0,11.0,0.7281022071838379,0.596382,0.338418,0.257964
test,"(182, 385)",389,1,164.0,3.0,0.7317073345184326,2.621686,0.410977,2.210709
test,"(83, 88)",25,1,121.0,20.0,0.22314049303531647,1.805500,3.887568,-2.082068
test,"(66, 25)",199,1,46.0,13.0,0.32608696818351746,0.606384,1.011483,-0.405099
test,"(86, 51)",78,1,8.0,2.0,0.625,2.673490,0.690982,1.982508
test,"(90, 81)",13,1,10.0,5.0,0.5,5.602323,5.397234,0.205089
test,"(185, 29)",325,1,248.0,22.0,0.125,2.218483,2.082669,0.135814
test,"(76, 83)",7,1,46.0,3.0,0.9130434989929199,5.409194,6.707942,-1.298748
